OBJECTID,KeyID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,Ice Hockey Rink,Street Hockey Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,RestRoom,Walking Path,Bike Path,StateGrant,LWCFGrant,Lon,Lat,Short_Description,Description,Additional_Names,GoRI_Incude_Suggestion,NoGoRI_Incude_Why,Dogs_Allowed,ADA,Stroller_Friendly,Picnic_Area,Acres_Miles,Contact_Info,Contact_Info_Seasonal,About_Links,Map_Links,GoRI_TestFlag,GoRI_subset
27,27,Berkeley Park,LP,Polo,Pawtucket,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,Y,-71.36744643250,41.86732359790,,,,,,,,,,,,,,,,N
28,28,Max Read Field,LP,Pleasant,Pawtucket,MUN,,,,0,0,2,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Y,Y,-71.38112413940,41.86435228360,,,,,,,,,,,,,,,,Y
30,30,Deninno Memorial Field,LP,Alexander,North Providence,MUN,,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.44906700870,41.86188320220,,,,,,,,,,,,,,,,N
31,31,Wanskuck Park,LP,Woodward,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Y,N,-71.43247576690,41.85990704120,,,,,,,,,,,,,,,,N
32,32,Morley Field,LP,Moshassuck,Pawtucket,MUN,,,,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,Y,-71.40298773920,41.85880097800,,,,,,,,,,,,,,,,N
33,33,Blackstone Blvd. Park,LP,Blackstone,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,Y,-71.38779002260,41.85210415390,,,,,,,,,,,,,,,,Y
34,34,Stephen Olney Park,LP,Smithfield,North Providence,MUN,,,,2,4,0,0,1,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,Y,Y,-71.45349281350,41.85542753600,,,,,,,,,,,,,,,,Y
35,35,Lynne Bourne Memorial Park,LP,Alma,East Providence,MUN,,,,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.35774455600,41.85417625750,,,,,,,,,,,,,,,,N
36,36,Hopkins Square,LP,Charles,Providence,MUN,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,-71.42041170900,41.85085044520,,,,,,,,,,,,,,,,N
37,37,Prete-Metcalf Field,LP,Charles,Providence,MUN,,,,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.42098092920,41.84951480410,,,,,,,,,,,,,,,,N
