trail_id,trail_name,steward_id,trail_segment_id,Type,trail_rating,hike,bike,horse,ski,motor,accessible,Comments,length,geometry
,,,107,Single Track,,,,,,,,None,1329.107928,
,,,108,Gravel Road,,,,,,,,None,3248.010806,
,,,109,Double Track,,,,,,,,None,3873.200846,
,,,110,Gravel Road,,,,,,,,None,3024.399216,
,,,111,Single Track,,,,,,,,None,1152.18116,
,,,112,Single Track,,,,,,,,None,3905.778782,
,,,113,Single Track,,,,,,,,None,2528.078046,
,,,114,Single Track,,,,,,,,None,1055.481313,
,,,115,Gravel Road,,,,,,,,None,8359.956222,
,,,116,Double Track,,,,,,,,None,2648.441896,
,,,117,Single Track,,,,,,,,None,1059.438818,
,,,118,Gravel Road,,,,,,,,None,2147.60013,
,,,119,Single Track,,,,,,,,NO NAME,1443.112968,
,,,120,Single Track,,,,,,,,NO NAME,3474.93068,
,,,121,Single Track,,,,,,,,Fair,1525.674623,
,,,122,Double Track,,,,,,,,None,4226.806825,
,,,123,Single Track,,,,,,,,Fair,5580.139783,
,,,124,Single Track,,,,,,,,QUESTIONABLE TRAIL,1575.620714,
,,,125,Single Track,,,,,,,,NO NAME,4571.912757,
,,,126,Gravel Road,,,,,,,,NO NAME,455.746528,
,,,127,Double Track,,,,,,,,Owner = Fish & Wildlife,1198.825086,
,,,128,Double Track,,,,,,,,Owner = Fish & Wildlife,2311.798334,
,,,129,Double Track,,,,,,,,Owner = Fish & Wildlife,3643.032199,
,,,130,Double Track,,,,,,,,Owner = Fish & Wildlife,4540.802489,
,,,131,Single Track,,,,,,,,None,308.9381519,
,,,133,Gravel Road,,,,,,,,None,1454.422588,
,,,134,Single Track,,,,,,,,None,1444.635762,
,,,135,Single Track,,,,,,,,None,4198.080558,
,,,136,Single Track,,,,,,,,None,14751.25028,
,,,137,Single Track,,,,,,,,None,2451.967669,
,,,138,Single Track,,,,,,,,None,688.8495917,
,,,139,Double Track,,,,,,,,None,4494.621189,
,,,140,Double Track,,,,,,,,None,1524.20881,
,,,141,Double Track,,,,,,,,None,1764.062369,
,,,142,Single Track,,,,,,,,None,8381.684039,
,,,143,Double Track,,,,,,,,Owner = Fish & Wildlife,1463.712196,
,,,144,Double Track,,,,,,,,Owner = Fish & Wildlife,5120.830983,
,,,145,Double Track,,,,,,,,Owner = Fish & Wildlife,4161.307482,
,,,146,Double Track,,,,,,,,Owner = Fish & Wildlife,1883.654851,
,,,147,Double Track,,,,,,,,Owner = Fish & Wildlife,3615.968583,
